Wahlperiode,Sitzungnr,Abstimmnr,Fraktion/Gruppe,Name,Vorname,Titel,ja,nein,Enthaltung,ungültig,nichtabgegeben,Bezeichnung,Bemerkung,stimme
20,101,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,101,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,101,2,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,101,2,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,101,2,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,101,2,Fraktionslos,Huber,Johannes,,0,0,0,0,1,Johannes Huber,,nichtabgegeben
20,101,2,Fraktionslos,Seidler,Stefan,,0,0,1,0,0,Stefan Seidler,,Enthaltung
20,101,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,101,3,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,101,3,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,101,3,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,101,3,Fraktionslos,Huber,Johannes,,0,0,0,0,1,Johannes Huber,,nichtabgegeben
20,101,3,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,101,3,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,102,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,102,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,102,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,102,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,102,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,102,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,102,2,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,102,2,Fraktionslos,Farle,Robert,,0,0,0,0,1,Robert Farle,,nichtabgegeben
20,102,2,Fraktionslos,Helferich,Matthias,,1,0,0,0,0,Matthias Helferich,,ja
20,102,2,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,102,2,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,102,2,Fraktionslos,Witt,Uwe,,1,0,0,0,0,Uwe Witt,,ja
20,103,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,103,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,103,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,103,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,103,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,103,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,104,1,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,104,1,Fraktionslos,Farle,Robert,,0,0,0,0,1,Robert Farle,,nichtabgegeben
20,104,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,104,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,104,1,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,104,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,107,1,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,107,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,107,1,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,107,1,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,107,1,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,107,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,107,2,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,107,2,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,107,2,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,107,2,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,107,2,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,107,2,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,107,3,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,107,3,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,107,3,Fraktionslos,Helferich,Matthias,,0,1,0,0,0,Matthias Helferich,,nein
20,107,3,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,107,3,Fraktionslos,Seidler,Stefan,,1,0,0,0,0,Stefan Seidler,,ja
20,107,3,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,109,1,Fraktionslos,Cotar,Joana,,1,0,0,0,0,Joana Cotar,,ja
20,109,1,Fraktionslos,Farle,Robert,,1,0,0,0,0,Robert Farle,,ja
20,109,1,Fraktionslos,Helferich,Matthias,,0,0,0,0,1,Matthias Helferich,,nichtabgegeben
20,109,1,Fraktionslos,Huber,Johannes,,1,0,0,0,0,Johannes Huber,,ja
20,109,1,Fraktionslos,Seidler,Stefan,,0,0,1,0,0,Stefan Seidler,,Enthaltung
20,109,1,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,109,3,Fraktionslos,Cotar,Joana,,0,1,0,0,0,Joana Cotar,,nein
20,109,3,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
20,109,3,Fraktionslos,Helferich,Matthias,,0,0,0,0,1,Matthias Helferich,,nichtabgegeben
20,109,3,Fraktionslos,Huber,Johannes,,0,1,0,0,0,Johannes Huber,,nein
20,109,3,Fraktionslos,Seidler,Stefan,,0,1,0,0,0,Stefan Seidler,,nein
20,109,3,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,109,4,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,109,4,Fraktionslos,Farle,Robert,,0,0,1,0,0,Robert Farle,,Enthaltung
20,109,4,Fraktionslos,Helferich,Matthias,,0,0,0,0,1,Matthias Helferich,,nichtabgegeben
20,109,4,Fraktionslos,Huber,Johannes,,0,0,1,0,0,Johannes Huber,,Enthaltung
20,109,4,Fraktionslos,Seidler,Stefan,,0,0,1,0,0,Stefan Seidler,,Enthaltung
20,109,4,Fraktionslos,Witt,Uwe,,0,0,0,0,1,Uwe Witt,,nichtabgegeben
20,113,1,Fraktionslos,Cotar,Joana,,0,0,0,0,1,Joana Cotar,,nichtabgegeben
20,113,1,Fraktionslos,Farle,Robert,,0,1,0,0,0,Robert Farle,,nein
